timestamp,timestamp_epoch,depth_shot,type,stage_id
2020-01-25 20:32:41,1579984361,18953,plug,fa9f5fe4-98ae-11ec-8787-afba9208244b
2020-01-25 20:33:21,1579984401,18952,charge,fa9f5fe4-98ae-11ec-8787-afba9208244b
2020-01-25 20:33:51,1579984431,18937,charge,fa9f5fe4-98ae-11ec-8787-afba9208244b
2020-01-25 20:35:21,1579984521,18878,charge,fa9f5fe4-98ae-11ec-8787-afba9208244b
2020-01-25 20:35:41,1579984541,18865,charge,fa9f5fe4-98ae-11ec-8787-afba9208244b
2020-01-26 00:47:03,1579999623,19647,plug,faadc4ee-98ae-11ec-8787-afba9208244b
2020-01-26 00:47:53,1579999673,19645,charge,faadc4ee-98ae-11ec-8787-afba9208244b
2020-01-26 00:48:23,1579999703,19628,charge,faadc4ee-98ae-11ec-8787-afba9208244b
2020-01-26 00:48:43,1579999723,19614,charge,faadc4ee-98ae-11ec-8787-afba9208244b
2020-01-26 00:49:03,1579999743,19600,charge,faadc4ee-98ae-11ec-8787-afba9208244b
2020-01-26 00:49:23,1579999763,19586,charge,faadc4ee-98ae-11ec-8787-afba9208244b
2020-01-26 00:49:43,1579999783,19571,charge,faadc4ee-98ae-11ec-8787-afba9208244b
2020-01-26 00:50:02,1579999802,19558,charge,faadc4ee-98ae-11ec-8787-afba9208244b
2020-01-26 00:50:22,1579999822,19544,charge,faadc4ee-98ae-11ec-8787-afba9208244b
2020-01-26 00:50:50,1579999850,19524,charge,faadc4ee-98ae-11ec-8787-afba9208244b
2020-01-26 04:40:31,1580013631,18803,plug,fbbe75cc-98ae-11ec-8787-afba9208244b
2020-01-26 04:41:01,1580013661,18802,charge,fbbe75cc-98ae-11ec-8787-afba9208244b
2020-01-26 04:41:31,1580013691,18786,charge,fbbe75cc-98ae-11ec-8787-afba9208244b
2020-01-26 04:41:51,1580013711,18772,charge,fbbe75cc-98ae-11ec-8787-afba9208244b
2020-01-26 04:42:11,1580013731,18758,charge,fbbe75cc-98ae-11ec-8787-afba9208244b
2020-01-26 04:42:31,1580013751,18744,charge,fbbe75cc-98ae-11ec-8787-afba9208244b
2020-01-26 04:42:51,1580013771,18730,charge,fbbe75cc-98ae-11ec-8787-afba9208244b
2020-01-26 04:43:11,1580013791,18715,charge,fbbe75cc-98ae-11ec-8787-afba9208244b
2020-01-26 04:43:31,1580013811,18700,charge,fbbe75cc-98ae-11ec-8787-afba9208244b
2020-01-26 04:43:51,1580013831,18686,charge,fbbe75cc-98ae-11ec-8787-afba9208244b
